,Sequence,Explanation,Prediction
0,"- 1117838570 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.50.675872 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> 2005.06.03 R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> 2005.06.03 R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> 2005.06.03 R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - 1117842440 2005.06.03 R23-M0-NE-C:J05-U01 2005-06-03-16.47.20.730545 R23-M0-NE-C:J05-U01 RAS KERNEL INFO 63543 double-hummer alignment exceptions - <*> 2005.06.03 <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions - <*> 2005.06.03 <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions - 1117848119 2005.06.03 R16-M1-N2-C:J17-U01 2005-06-03-18.21.59.871925 R16-M1-N2-C:J17-U01 RAS KERNEL INFO CE sym 2, at 0x0b85eee0, mask 0x05 APPREAD 1117869872 2005.06.04 R04-M1-N4-I:J18-U11 2005-06-04-00.24.32.432192 R04-M1-N4-I:J18-U11 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569 APPREAD <*> 2005.06.04 <*> <*> <*> RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to <*>",,0
1,"- <*> 2005.06.03 R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - 1117842440 2005.06.03 R23-M0-NE-C:J05-U01 2005-06-03-16.47.20.730545 R23-M0-NE-C:J05-U01 RAS KERNEL INFO 63543 double-hummer alignment exceptions - <*> 2005.06.03 <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions - <*> 2005.06.03 <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions - 1117848119 2005.06.03 R16-M1-N2-C:J17-U01 2005-06-03-18.21.59.871925 R16-M1-N2-C:J17-U01 RAS KERNEL INFO CE sym 2, at 0x0b85eee0, mask 0x05 APPREAD 1117869872 2005.06.04 R04-M1-N4-I:J18-U11 2005-06-04-00.24.32.432192 R04-M1-N4-I:J18-U11 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569 APPREAD <*> 2005.06.04 <*> <*> <*> RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - 1117955341 2005.06.05 R25-M0-N7-C:J02-U01 2005-06-05-00.09.01.903373 R25-M0-N7-C:J02-U01 RAS KERNEL INFO generating core.2275 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>","Repeated double-hummer alignment and CE syms, repeated core.2275",1
2,"- <*> 2005.06.03 <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions - 1117848119 2005.06.03 R16-M1-N2-C:J17-U01 2005-06-03-18.21.59.871925 R16-M1-N2-C:J17-U01 RAS KERNEL INFO CE sym 2, at 0x0b85eee0, mask 0x05 APPREAD 1117869872 2005.06.04 R04-M1-N4-I:J18-U11 2005-06-04-00.24.32.432192 R04-M1-N4-I:J18-U11 RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569 APPREAD <*> 2005.06.04 <*> <*> <*> RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - 1117955341 2005.06.05 R25-M0-N7-C:J02-U01 2005-06-05-00.09.01.903373 R25-M0-N7-C:J02-U01 RAS KERNEL INFO generating core.2275 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>",,0
3,APPREAD <*> 2005.06.04 <*> <*> <*> RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - 1117955341 2005.06.05 R25-M0-N7-C:J02-U01 2005-06-05-00.09.01.903373 R25-M0-N7-C:J02-U01 RAS KERNEL INFO generating core.2275 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,Repeated kernel core generation and message generation indicate severe system instability.,1
4,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
5,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
6,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
7,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
8,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - 1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
9,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - 1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
10,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - 1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0 - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
11,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
12,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
13,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
14,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
15,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,,0
16,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*>,,0
17,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,,0
18,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,,0
19,- <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*> - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
20,- <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> R02-M1-N0-C:J12-U11 <*> R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*> - 1118112700 2005.06.06 R23-M0-N0-I:J18-U01 2005-06-06-19.51.40.376079 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff - <*> <*> <*> <*> <*> RAS KERNEL INFO generating <*>,,0
